,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type
0,SPY250317C00460000,2025-03-13 17:25:03+00:00,460.0,90.95,101.05,102.28,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,CALL
1,SPY250317C00500000,2025-03-12 18:57:54+00:00,500.0,61.49,61.07,62.29,0.0,0.0,6.0,8,1.0000000000000003e-05,True,REGULAR,USD,CALL
2,SPY250317C00520000,2025-03-14 19:37:09+00:00,520.0,42.09,41.08,42.3,10.35,32.608696,36.0,5,1.0000000000000003e-05,True,REGULAR,USD,CALL
3,SPY250317C00525000,2025-03-14 13:41:05+00:00,525.0,33.0,36.08,37.31,4.799999,17.021273,2.0,16,1.0000000000000003e-05,True,REGULAR,USD,CALL
4,SPY250317C00530000,2025-03-14 19:59:02+00:00,530.0,33.65,31.09,32.31,10.320002,44.234898,32.0,260,1.0000000000000003e-05,True,REGULAR,USD,CALL
5,SPY250317C00535000,2025-03-14 17:03:02+00:00,535.0,27.13,26.09,27.32,10.269999,60.913395,164.0,150,1.0000000000000003e-05,True,REGULAR,USD,CALL
6,SPY250317C00540000,2025-03-14 20:12:52+00:00,540.0,21.79,21.65,21.81,8.350001,62.12799,298.0,213,1.0000000000000003e-05,True,REGULAR,USD,CALL
7,SPY250317C00545000,2025-03-14 19:23:14+00:00,545.0,17.43,16.71,16.87,7.54,76.23862,260.0,179,1.0000000000000003e-05,True,REGULAR,USD,CALL
8,SPY250317C00550000,2025-03-14 20:13:56+00:00,550.0,12.1,11.93,12.06,5.3500004,79.25926,1015.0,1426,1.0000000000000003e-05,True,REGULAR,USD,CALL
9,SPY250317C00551000,2025-03-14 20:05:08+00:00,551.0,11.5,11.0,11.13,5.37,87.60195,1041.0,829,1.0000000000000003e-05,True,REGULAR,USD,CALL
10,SPY250317C00554000,2025-03-14 20:14:29+00:00,554.0,8.44,8.34,8.45,3.9599996,88.392845,1814.0,1176,1.0000000000000003e-05,True,REGULAR,USD,CALL
11,SPY250317C00555000,2025-03-14 20:14:10+00:00,555.0,7.65,7.49,7.6,3.66,91.729324,4136.0,1565,1.0000000000000003e-05,True,REGULAR,USD,CALL
12,SPY250317C00556000,2025-03-14 20:09:00+00:00,556.0,6.95,6.68,6.77,3.4499998,98.57143,4892.0,1132,1.0000000000000003e-05,True,REGULAR,USD,CALL
13,SPY250317C00557000,2025-03-14 20:14:10+00:00,557.0,6.03,5.89,5.97,2.9400003,95.145645,11381.0,1184,0.10132734619140624,True,REGULAR,USD,CALL
14,SPY250317C00558000,2025-03-14 20:12:44+00:00,558.0,5.2,5.14,5.21,2.4899998,91.881905,17304.0,2039,0.11585356811523437,True,REGULAR,USD,CALL
15,SPY250317C00559000,2025-03-14 20:14:48+00:00,559.0,4.41,4.43,4.49,2.05,86.8644,14492.0,1675,0.12342185180664064,True,REGULAR,USD,CALL
16,SPY250317C00560000,2025-03-14 20:14:43+00:00,560.0,3.77,3.78,3.82,1.71,83.00971,46685.0,3839,0.12818254638671872,True,REGULAR,USD,CALL
17,SPY250317C00561000,2025-03-14 20:14:42+00:00,561.0,3.18,3.16,3.19,1.45,83.81503,47903.0,1425,0.13050185913085935,True,REGULAR,USD,CALL
18,SPY250317C00562000,2025-03-14 20:14:58+00:00,562.0,2.61,2.6,2.63,1.1299999,76.35134,49386.0,2169,0.13257703369140628,True,REGULAR,USD,CALL
19,SPY250317C00563000,2025-03-14 20:14:54+00:00,563.0,2.13,2.1,2.13,0.9100001,74.59017,42548.0,1565,0.133797724609375,False,REGULAR,USD,CALL
20,SPY250317C00564000,2025-03-14 20:14:58+00:00,564.0,1.67,1.67,1.69,0.64,62.13592,32020.0,2349,0.13428600097656251,False,REGULAR,USD,CALL
21,SPY250317C00565000,2025-03-14 20:14:53+00:00,565.0,1.29,1.3,1.31,0.43999994,51.764698,49522.0,4458,0.13428600097656251,False,REGULAR,USD,CALL
22,SPY250317C00566000,2025-03-14 20:14:55+00:00,566.0,1.0,0.98,1.0,0.3,42.857147,26614.0,1801,0.13453013916015627,False,REGULAR,USD,CALL
23,SPY250317C00567000,2025-03-14 20:14:59+00:00,567.0,0.74,0.74,0.75,0.18,32.14286,23835.0,1964,0.13501841552734378,False,REGULAR,USD,CALL
24,SPY250317C00568000,2025-03-14 20:14:45+00:00,568.0,0.55,0.54,0.55,0.100000024,22.222229,15838.0,1614,0.13514048461914066,False,REGULAR,USD,CALL
25,SPY250317C00569000,2025-03-14 20:14:56+00:00,569.0,0.4,0.39,0.4,0.050000012,14.285718,13297.0,2463,0.13575083007812502,False,REGULAR,USD,CALL
26,SPY250317C00570000,2025-03-14 20:14:59+00:00,570.0,0.29,0.28,0.29,0.0,0.0,49873.0,4988,0.13697152099609378,False,REGULAR,USD,CALL
27,SPY250317C00571000,2025-03-14 20:14:59+00:00,571.0,0.2,0.19,0.2,-0.030000001,-13.043478,22597.0,1318,0.13721565917968753,False,REGULAR,USD,CALL
28,SPY250317C00572000,2025-03-14 20:14:50+00:00,572.0,0.14,0.13,0.14,-0.030000001,-17.647058,30088.0,2384,0.1381922119140625,False,REGULAR,USD,CALL
29,SPY250317C00573000,2025-03-14 20:14:52+00:00,573.0,0.09,0.08,0.09,-0.049999997,-35.714283,16890.0,1735,0.13721565917968753,False,REGULAR,USD,CALL
30,SPY250317C00574000,2025-03-14 20:14:54+00:00,574.0,0.06,0.05,0.06,-0.040000003,-40.000004,5522.0,1760,0.13770393554687502,False,REGULAR,USD,CALL
31,SPY250317C00575000,2025-03-14 20:14:59+00:00,575.0,0.04,0.03,0.04,-0.04,-50.0,16016.0,4520,0.13868048828125001,False,REGULAR,USD,CALL
32,SPY250317C00576000,2025-03-14 20:14:08+00:00,576.0,0.02,0.02,0.03,-0.05,-71.42857,4403.0,1451,0.14258669921875,False,REGULAR,USD,CALL
33,SPY250317C00577000,2025-03-14 20:13:50+00:00,577.0,0.02,0.02,0.03,-0.04,-66.66667,2063.0,2595,0.15235222656250003,False,REGULAR,USD,CALL
34,SPY250317C00578000,2025-03-14 20:13:39+00:00,578.0,0.02,0.01,0.02,-0.030000001,-60.000004,2645.0,1534,0.15235222656250003,False,REGULAR,USD,CALL
35,SPY250317C00579000,2025-03-14 20:07:46+00:00,579.0,0.01,0.01,0.02,-0.03,-75.0,1476.0,2051,0.16211775390625,False,REGULAR,USD,CALL
36,SPY250317C00580000,2025-03-14 20:14:37+00:00,580.0,0.02,0.01,0.02,-0.02,-50.0,4964.0,5631,0.16993017578125003,False,REGULAR,USD,CALL
37,SPY250317C00581000,2025-03-14 20:05:26+00:00,581.0,0.02,0.01,0.02,-0.01,-33.333336,477.0,2099,0.17774259765625,False,REGULAR,USD,CALL
38,SPY250317C00582000,2025-03-14 19:47:11+00:00,582.0,0.01,0.01,0.02,-0.01,-50.0,1061.0,1235,0.187508125,False,REGULAR,USD,CALL
39,SPY250317C00583000,2025-03-14 20:10:13+00:00,583.0,0.01,0.0,0.01,-0.01,-50.0,682.0,2189,0.179695703125,False,REGULAR,USD,CALL
40,SPY250317C00584000,2025-03-14 20:06:46+00:00,584.0,0.01,0.0,0.01,-0.01,-50.0,624.0,2775,0.187508125,False,REGULAR,USD,CALL
41,SPY250317C00585000,2025-03-14 20:08:14+00:00,585.0,0.01,0.0,0.01,-0.01,-50.0,267.0,2455,0.195320546875,False,REGULAR,USD,CALL
42,SPY250317C00586000,2025-03-14 19:47:23+00:00,586.0,0.01,0.0,0.01,0.0,0.0,566.0,2609,0.20313296874999998,False,REGULAR,USD,CALL
43,SPY250317C00587000,2025-03-14 19:45:03+00:00,587.0,0.01,0.0,0.01,-0.01,-50.0,129.0,1612,0.21094539062499998,False,REGULAR,USD,CALL
44,SPY250317C00588000,2025-03-14 19:38:10+00:00,588.0,0.01,0.0,0.01,0.0,0.0,341.0,3290,0.21875781249999998,False,REGULAR,USD,CALL
45,SPY250317C00589000,2025-03-14 19:54:30+00:00,589.0,0.01,0.0,0.01,-0.01,-50.0,245.0,2156,0.22657023437499998,False,REGULAR,USD,CALL
46,SPY250317C00590000,2025-03-14 19:17:09+00:00,590.0,0.01,0.0,0.01,0.0,0.0,828.0,4171,0.23438265625,False,REGULAR,USD,CALL
47,SPY250317C00591000,2025-03-14 19:39:09+00:00,591.0,0.01,0.0,0.01,-0.01,-50.0,316.0,2887,0.242195078125,False,REGULAR,USD,CALL
48,SPY250317C00592000,2025-03-14 14:22:34+00:00,592.0,0.02,0.0,0.01,0.01,100.0,126.0,1707,0.2500075,False,REGULAR,USD,CALL
49,SPY250317C00593000,2025-03-13 17:56:12+00:00,593.0,0.01,0.0,0.01,-0.01,-50.0,132.0,1741,0.257819921875,False,REGULAR,USD,CALL
50,SPY250317C00594000,2025-03-14 19:13:16+00:00,594.0,0.01,0.0,0.01,0.0,0.0,3.0,1633,0.26563234375,False,REGULAR,USD,CALL
51,SPY250317C00595000,2025-03-14 20:05:32+00:00,595.0,0.01,0.0,0.01,0.0,0.0,308.0,3216,0.273444765625,False,REGULAR,USD,CALL
52,SPY250317C00596000,2025-03-14 19:23:32+00:00,596.0,0.02,0.0,0.01,0.0,0.0,884.0,1844,0.28125718749999995,False,REGULAR,USD,CALL
53,SPY250317C00597000,2025-03-14 19:23:32+00:00,597.0,0.01,0.0,0.01,0.0,0.0,1030.0,2120,0.2890696093749999,False,REGULAR,USD,CALL
54,SPY250317C00598000,2025-03-14 15:01:27+00:00,598.0,0.01,0.0,0.01,0.0,0.0,10.0,1843,0.2929758203124999,False,REGULAR,USD,CALL
55,SPY250317C00599000,2025-03-13 14:27:02+00:00,599.0,0.02,0.0,0.01,0.0,0.0,3.0,3089,0.3007882421875,False,REGULAR,USD,CALL
56,SPY250317C00600000,2025-03-14 17:59:20+00:00,600.0,0.01,0.0,0.01,-0.01,-50.0,379.0,3441,0.3086006640625,False,REGULAR,USD,CALL
57,SPY250317C00601000,2025-03-14 14:07:19+00:00,601.0,0.02,0.0,0.01,0.01,100.0,1.0,2680,0.31250687499999996,False,REGULAR,USD,CALL
58,SPY250317C00602000,2025-03-13 19:59:20+00:00,602.0,0.01,0.0,0.01,0.0,0.0,10.0,3334,0.32031929687499994,False,REGULAR,USD,CALL
59,SPY250317C00603000,2025-03-13 19:07:30+00:00,603.0,0.01,0.0,0.01,0.0,0.0,1.0,2244,0.32813171874999997,False,REGULAR,USD,CALL
60,SPY250317C00604000,2025-03-14 14:27:25+00:00,604.0,0.01,0.0,0.01,0.0,0.0,5.0,3931,0.335944140625,False,REGULAR,USD,CALL
61,SPY250317C00605000,2025-03-13 20:01:46+00:00,605.0,0.01,0.0,0.01,0.0,0.0,693.0,7796,0.3437565625,False,REGULAR,USD,CALL
62,SPY250317C00606000,2025-03-13 15:19:52+00:00,606.0,0.01,0.0,0.01,0.0,0.0,216.0,4108,0.35156898437499995,False,REGULAR,USD,CALL
63,SPY250317C00607000,2025-03-13 19:07:34+00:00,607.0,0.01,0.0,0.01,0.0,0.0,1.0,4277,0.35938140625,False,REGULAR,USD,CALL
64,SPY250317C00608000,2025-03-14 14:07:19+00:00,608.0,0.01,0.0,0.01,0.0,0.0,1.0,7715,0.367193828125,False,REGULAR,USD,CALL
